,BTC/USDT,BTC/USDT,BTC/USDT,BTC/USDT,BTC/USDT,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,DOGE/USDT,DOGE/USDT,DOGE/USDT,DOGE/USDT,DOGE/USDT,BNB/USDT,BNB/USDT,BNB/USDT,BNB/USDT,BNB/USDT,ADA/USDT,ADA/USDT,ADA/USDT,ADA/USDT,ADA/USDT,SOL/USDT,SOL/USDT,SOL/USDT,SOL/USDT,SOL/USDT,BTC/USDT,ETH/USDT,DOGE/USDT,BNB/USDT,ADA/USDT,SOL/USDT
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Log_return,Log_return,Log_return,Log_return,Log_return,Log_return
TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17 01:00:00,100120.58,101833.28,100050.0,101659.8,3129.03705,3313.68,3391.02,3313.68,3386.31,42469.8212,0.37738,0.38622,0.37709,0.38481,75924895.0,711.0,716.85,710.14,716.27,13898.153,1.1002,1.1141,1.0916,1.1073,16178604.2,210.9,215.35,210.84,214.49,201745.303,,,,,,
2025-01-17 02:00:00,101659.8,102148.13,100780.54,101100.0,2269.38304,3386.3,3397.66,3355.0,3373.3,35791.6996,0.38482,0.38952,0.38365,0.38542,85787590.0,716.27,717.7,713.37,714.88,16717.558,1.1073,1.1272,1.1034,1.1109,14445451.0,214.49,214.96,211.75,212.99,191452.257,-0.005521818648274784,-0.0038493392561229915,0.0015839427899055594,-0.0019424944094917826,0.0032458778836141726,-0.007017900984194408
2025-01-17 03:00:00,101100.0,101271.74,100943.77,101051.73,759.63139,3373.31,3377.49,3358.66,3361.01,11428.7934,0.38542,0.38799,0.38463,0.38549,43351668.0,714.88,716.15,713.87,714.34,7046.053,1.1109,1.1193,1.1064,1.1173,6448343.6,213.0,213.06,210.98,211.1,84760.778,-0.0004775620858391414,-0.003649969675952123,0.00018160355992901455,-0.0007556569677106844,0.005744562965615607,-0.008913261396234145
2025-01-17 04:00:00,101051.73,101490.78,100952.1,101481.29,685.45637,3361.01,3372.47,3347.79,3371.07,9271.8862,0.3855,0.38755,0.38373,0.38668,55137582.0,714.34,715.56,712.99,715.34,7611.458,1.1172,1.13,1.108,1.1278,6949392.9,211.1,212.92,210.94,212.91,68856.801,0.004241882574106227,0.0029886773443433263,0.003082225266701243,0.001398914670527819,0.009353771819789407,0.008537586350726403
2025-01-17 05:00:00,101481.28,101782.02,101301.4,101334.05,905.85684,3371.07,3376.51,3359.28,3366.71,23978.1347,0.38667,0.3888,0.386,0.38633,40430400.0,715.33,719.01,715.0,718.21,12468.159,1.1279,1.1346,1.1248,1.1305,9225876.3,212.9,213.25,211.87,212.51,78157.447,-0.0014519614331687744,-0.0012941950044560693,-0.000905551089681498,0.004004051249584495,0.002391180344942915,-0.0018804951242320234
2025-01-17 06:00:00,101334.06,101586.96,101302.6,101408.99,413.87668,3366.7,3376.0,3364.47,3367.44,8060.1814,0.38633,0.387,0.38502,0.38668,30191875.0,718.21,718.46,715.99,716.15,8265.829,1.1305,1.1348,1.1217,1.1278,7968637.0,212.51,213.62,212.12,212.6,202556.489,0.0007392609227219894,0.00021680538831468974,0.0009055510896815202,-0.0028723631673089264,-0.002391180344942917,0.00042341982707831303
2025-01-17 07:00:00,101409.0,101899.49,101401.0,101440.5,1193.29541,3367.44,3389.11,3363.0,3373.14,10647.7495,0.38668,0.39578,0.38607,0.39555,139769328.0,716.16,717.05,713.95,714.41,7555.704,1.1278,1.1278,1.1125,1.1153,7277899.9,212.59,213.83,212.3,213.27,70584.98,0.00031067369460417564,0.0016912495241222984,0.02267972387100071,-0.002432615001194282,-0.011145405372590449,0.003146502701654036
2025-01-17 08:00:00,101440.51,102220.14,101439.77,102136.01,1964.78851,3373.14,3413.86,3372.52,3407.33,19774.3783,0.39555,0.41813,0.39545,0.41451,562348535.0,714.41,720.5,714.4,720.12,18741.171,1.1152,1.1252,1.1071,1.1235,12682383.4,213.27,216.36,213.22,216.28,199575.603,0.006832936727865469,0.010084932099527523,0.04681989826928243,0.00796083756474198,0.007325385624892607,0.014014895904302735
